Date,Time,Away_Team,Home_Team,Away_Money_Line,Home_Money_Line,Away_Total,Home_Total,temp,DP,HUMID,Baro,M,N,O,P,Q,R,Total_Hits,Total_Walks,Total_Walks_Hits,Total_Bases,Away_Inning_1,h9,h8,h7,h6,h5,h4,h3,h2,h1,Home_Inning_1,a9,a8,a7,a6,a5,a4,A3,A2,A1,AQ,home_runs,stolen_bases,Away_Starter_Last_Name,Away_Starter_Handedness,Home_Starter_First_Name,Home_Starter_Last_Name,Home_Starter_Handedness,LD_PA,GB_PA,FB_PA,SO_PA,LD_BABIP,GB_BABIP,FB_BABIP,BF
5/24/2015,2:00 PM,Giants,Rockies,-126,116,10 -108,10 -102,57.9,37.9,47,29.79,NNE,8.1,1.2187,20.25,0,20.25,13,17,7,24,33,0,0,1,1,0,8,0,1,0,\N,2,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,,,
5/23/2015,2:00 PM,Giants,Rockies,-103,-105,10 +100,10 -110,57,42.1,57,29.94,NNW,15,1.2263,9,15.75,24.75,18,27,3,30,45,2,0,0,2,3,0,0,1,0,\N,0,0,0,3,4,3,0,0,0,,3,,,,,,,,,,,,,,
5/22/2015,6:00 PM,Giants,Rockies,-108,100,10 -114,10 +103,51.1,48.9,92,29.99,ENE,9.2,1.2413,0,2.25,2.25,19,27,8,35,52,4,1,3,0,0,0,0,0,0,\N,4,0,4,2,0,0,1,0,0,,3,,,,,,,,,,,,,,
4/24/2015,6:00 PM,Giants,Rockies,-123,114,10 -120,10 +109,54,30.9,41,29.62,WNW,13.8,1.2218,6.75,9,15.75,10,27,6,33,49,0,0,0,3,0,0,1,2,0,\N,0,0,0,0,1,0,1,2,0,,2,,,,,,,,,,,,,,
8/4/2015,6:00 PM,Mariners,Rockies,102,-110,10.5 -111,10.5 +101,84.9,33.1,16,29.88,NNW,15,1.1623,4.5,2.25,6.75,14,23,7,30,50,0,0,0,1,0,2,0,0,1,\N,1,3,1,2,0,1,0,0,2,,4,,,,,,,,,,,,,,
8/3/2015,6:00 PM,Mariners,Rockies,-169,156,9.5 -124,9.5 +112,70,54,57,30.08,SSE,15,1.1996,4.5,6.75,11.25,15,30,5,35,53,3,0,0,1,0,2,0,0,1,\N,0,0,1,0,0,0,1,2,4,,3,,,,,,,,,,,,,,
6/7/2015,2:00 PM,Marlins,Rockies,,,,,73,44.1,35,29.96,East,5.8,1.19,2.25,0,2.25,5,12,7,19,27,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,2,,,,,,,,,,,,,,
6/6/2015,2:00 PM,Marlins,Rockies,,,,,73,55,53,29.88,NNW,16.1,1.1846,13.5,4.5,18,15,30,4,34,55,0,0,0,0,0,5,1,0,4,\N,3,0,0,0,0,1,0,1,0,,3,,,,,,,,,,,,,,
6/5/2015,6:00 PM,Marlins,Rockies,,,,,66.9,54,63,29.92,Calm,0,1.2002,0,9,9,8,24,3,27,34,0,1,0,1,0,0,0,0,0,\N,0,0,0,2,1,0,1,2,0,,1,,,,,,,,,,,,,,
8/23/2015,2:00 PM,Mets,Rockies,-129,119,11 -122,11 +111,73.9,46.9,38,30.11,North,8.1,1.1934,2.25,9,11.25,6,12,8,20,27,0,0,0,0,0,1,0,0,0,\N,0,0,0,0,0,0,2,2,1,,1,,,,,,,,,,,,,,
